file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,4
style.css,2,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,1,31
style.css,3,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,1,32
style.css,4,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,1,23
style.css,5,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,0
style.css,6,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,0
style.css,7,css,dc467642,Jack Ding,2026-04-03,13:13:07,-07:00,2026-04-03T13:13:07-07:00,0,4
style.css,8,css,dc467642,Jack Ding,2026-04-03,13:13:07,-07:00,2026-04-03T13:13:07-07:00,1,23
style.css,9,css,f6c14847,Jack Ding,2026-04-10,19:51:04,-07:00,2026-04-10T19:51:04-07:00,1,15
style.css,10,css,f6c14847,Jack Ding,2026-04-10,19:51:04,-07:00,2026-04-10T19:51:04-07:00,1,18
style.css,11,css,f6c14847,Jack Ding,2026-04-10,19:51:04,-07:00,2026-04-10T19:51:04-07:00,1,18
style.css,12,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,0
style.css,13,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,0
style.css,14,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,3
style.css,15,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,1,39
style.css,16,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,1,12
style.css,17,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,1,19
style.css,18,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,1,43
style.css,19,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,0
style.css,20,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,0
style.css,21,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,5
style.css,22,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,1,6
style.css,23,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,1,20
style.css,24,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,1,13
style.css,25,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,1,17
style.css,26,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,1,13
style.css,27,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,0
style.css,28,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,0
style.css,29,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,13
style.css,30,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,1,45
style.css,31,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,1,20
style.css,32,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,0
style.css,33,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,0
style.css,34,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,0,11
style.css,35,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,1,45
style.css,36,css,13c9a2f5,Jack Ding,2026-04-10,19:58:51,-07:00,2026-04-10T19:58:51-07:00,1,20
style.css,37,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,1,69
style.css,38,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,0,0
style.css,39,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,0,0
style.css,40,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,0,4
style.css,41,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,0,7
style.css,42,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,0,5
style.css,43,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,0,6
style.css,44,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,1,12
style.css,45,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,0,0
style.css,46,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,0,0
style.css,47,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,0,13
style.css,48,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,1,17
style.css,49,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,1,8
style.css,50,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,1,10
style.css,51,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,1,13
style.css,52,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,0,0
style.css,53,css,e80d2600,Jack Ding,2026-04-17,16:04:00,-07:00,2026-04-17T16:04:00-07:00,0,0
style.css,54,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,0,4
style.css,55,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,1,12
style.css,56,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,1,30
style.css,57,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,1,7
style.css,58,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,0,0
style.css,59,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,0,0
style.css,60,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,0,10
style.css,61,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,1,12
style.css,62,css,fe9ae0ac,Jack Ding,2026-04-10,20:02:29,-07:00,2026-04-10T20:02:29-07:00,1,29
